prompt_id,case_id,arm,condition,subset,qwen36_tokens
activity__n1500__f0__memoryless|node_panel_full_history|ss3|b2500|slot3|hidden,activity__n1500__f0__memoryless|node_panel_full_history|ss3|b2500,node_panel_full_history,hidden,seed_replication,896
activity__n1500__f0__memoryless|node_panel_full_history|ss3|b2500|slot3|mechanism,activity__n1500__f0__memoryless|node_panel_full_history|ss3|b2500,node_panel_full_history,mechanism,seed_replication,1033
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800|direction_only,activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,863
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800|hidden,activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,816
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800|mechanism,activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,976
activity__n1500__f0__memoryless|recent_history_k20|ws0|b800|mechanism_direction,activity__n1500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1023
activity__n1500__f0__memoryless|recent_history_k20|ws1|b800|slot1|hidden,activity__n1500__f0__memoryless|recent_history_k20|ws1|b800,recent_history_k20,hidden,seed_replication,796
activity__n1500__f0__memoryless|recent_history_k20|ws1|b800|slot1|mechanism,activity__n1500__f0__memoryless|recent_history_k20|ws1|b800,recent_history_k20,mechanism,seed_replication,956
activity__n1500__f0__memoryless|recent_history_k20|ws2|b800|slot2|hidden,activity__n1500__f0__memoryless|recent_history_k20|ws2|b800,recent_history_k20,hidden,seed_replication,803
activity__n1500__f0__memoryless|recent_history_k20|ws2|b800|slot2|mechanism,activity__n1500__f0__memoryless|recent_history_k20|ws2|b800,recent_history_k20,mechanism,seed_replication,963
activity__n1500__f0__memoryless|recent_history_k20|ws3|b800|slot3|hidden,activity__n1500__f0__memoryless|recent_history_k20|ws3|b800,recent_history_k20,hidden,seed_replication,796
activity__n1500__f0__memoryless|recent_history_k20|ws3|b800|slot3|mechanism,activity__n1500__f0__memoryless|recent_history_k20|ws3|b800,recent_history_k20,mechanism,seed_replication,956
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800|direction_only,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,873
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800|hidden,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,826
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800|mechanism,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,949
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800|mechanism_direction,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,996
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800|metadata_only,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800|mismatched,activity__n1500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,980
activity__n1500__f0__memoryless|time_agnostic_t|ws1|b800|slot1|hidden,activity__n1500__f0__memoryless|time_agnostic_t|ws1|b800,time_agnostic_t,hidden,seed_replication,841
activity__n1500__f0__memoryless|time_agnostic_t|ws1|b800|slot1|mechanism,activity__n1500__f0__memoryless|time_agnostic_t|ws1|b800,time_agnostic_t,mechanism,seed_replication,964
activity__n1500__f0__memoryless|time_agnostic_t|ws2|b800|slot2|hidden,activity__n1500__f0__memoryless|time_agnostic_t|ws2|b800,time_agnostic_t,hidden,seed_replication,826
activity__n1500__f0__memoryless|time_agnostic_t|ws2|b800|slot2|mechanism,activity__n1500__f0__memoryless|time_agnostic_t|ws2|b800,time_agnostic_t,mechanism,seed_replication,949
activity__n1500__f0__memoryless|time_agnostic_t|ws3|b800|slot3|hidden,activity__n1500__f0__memoryless|time_agnostic_t|ws3|b800,time_agnostic_t,hidden,seed_replication,826
activity__n1500__f0__memoryless|time_agnostic_t|ws3|b800|slot3|mechanism,activity__n1500__f0__memoryless|time_agnostic_t|ws3|b800,time_agnostic_t,mechanism,seed_replication,949
activity__n1500__f0__memoryless|time_respecting|ws0|b800|direction_only,activity__n1500__f0__memoryless|time_respecting|ws0|b800,time_respecting,direction_only,factorial,841
activity__n1500__f0__memoryless|time_respecting|ws0|b800|hidden,activity__n1500__f0__memoryless|time_respecting|ws0|b800,time_respecting,hidden,factorial,794
activity__n1500__f0__memoryless|time_respecting|ws0|b800|mechanism,activity__n1500__f0__memoryless|time_respecting|ws0|b800,time_respecting,mechanism,factorial,941
activity__n1500__f0__memoryless|time_respecting|ws0|b800|mechanism_direction,activity__n1500__f0__memoryless|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,988
activity__n1500__f0__memoryless|time_respecting|ws1|b800|slot1|hidden,activity__n1500__f0__memoryless|time_respecting|ws1|b800,time_respecting,hidden,seed_replication,794
activity__n1500__f0__memoryless|time_respecting|ws1|b800|slot1|mechanism,activity__n1500__f0__memoryless|time_respecting|ws1|b800,time_respecting,mechanism,seed_replication,941
activity__n1500__f0__memoryless|time_respecting|ws2|b800|slot2|hidden,activity__n1500__f0__memoryless|time_respecting|ws2|b800,time_respecting,hidden,seed_replication,808
activity__n1500__f0__memoryless|time_respecting|ws2|b800|slot2|mechanism,activity__n1500__f0__memoryless|time_respecting|ws2|b800,time_respecting,mechanism,seed_replication,955
activity__n1500__f0__memoryless|time_respecting|ws3|b800|slot3|hidden,activity__n1500__f0__memoryless|time_respecting|ws3|b800,time_respecting,hidden,seed_replication,808
activity__n1500__f0__memoryless|time_respecting|ws3|b800|slot3|mechanism,activity__n1500__f0__memoryless|time_respecting|ws3|b800,time_respecting,mechanism,seed_replication,955
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600|direction_only,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,2419
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600|hidden,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,2371
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600|mechanism,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,2525
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600|mechanism_direction,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,2573
activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600|mismatched,activity__n500__f0__beta1|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,2494
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500|direction_only,activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1748
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500|hidden,activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1701
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500|mechanism,activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1838
activity__n500__f0__beta1|node_panel_full_history|ss0|b2500|mechanism_direction,activity__n500__f0__beta1|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1885
activity__n500__f0__beta1|recent_history_k20|ws0|b800|direction_only,activity__n500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1199
activity__n500__f0__beta1|recent_history_k20|ws0|b800|hidden,activity__n500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,1152
activity__n500__f0__beta1|recent_history_k20|ws0|b800|mechanism,activity__n500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1312
activity__n500__f0__beta1|recent_history_k20|ws0|b800|mechanism_direction,activity__n500__f0__beta1|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1359
activity__n500__f0__beta1|time_agnostic_t|ws0|b800|direction_only,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,1131
activity__n500__f0__beta1|time_agnostic_t|ws0|b800|hidden,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,1084
activity__n500__f0__beta1|time_agnostic_t|ws0|b800|mechanism,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,1207
activity__n500__f0__beta1|time_agnostic_t|ws0|b800|mechanism_direction,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1254
activity__n500__f0__beta1|time_agnostic_t|ws0|b800|metadata_only,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,651
activity__n500__f0__beta1|time_agnostic_t|ws0|b800|mismatched,activity__n500__f0__beta1|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1238
activity__n500__f0__beta1|time_respecting|ws0|b800|direction_only,activity__n500__f0__beta1|time_respecting|ws0|b800,time_respecting,direction_only,factorial,1031
activity__n500__f0__beta1|time_respecting|ws0|b800|hidden,activity__n500__f0__beta1|time_respecting|ws0|b800,time_respecting,hidden,factorial,984
activity__n500__f0__beta1|time_respecting|ws0|b800|mechanism,activity__n500__f0__beta1|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1131
activity__n500__f0__beta1|time_respecting|ws0|b800|mechanism_direction,activity__n500__f0__beta1|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1178
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600|direction_only,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,1062
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600|hidden,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,1014
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600|mechanism,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1168
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600|mechanism_direction,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1216
activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600|mismatched,activity__n500__f0__memoryless|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1137
activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500|direction_only,activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,960
activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500|hidden,activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,913
activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500|mechanism,activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1050
activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500|mechanism_direction,activity__n500__f0__memoryless|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1097
activity__n500__f0__memoryless|recent_history_k20|ws0|b800|direction_only,activity__n500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,884
activity__n500__f0__memoryless|recent_history_k20|ws0|b800|hidden,activity__n500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,837
activity__n500__f0__memoryless|recent_history_k20|ws0|b800|mechanism,activity__n500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,997
activity__n500__f0__memoryless|recent_history_k20|ws0|b800|mechanism_direction,activity__n500__f0__memoryless|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1044
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800|direction_only,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,882
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800|hidden,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,835
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800|mechanism,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,958
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800|mechanism_direction,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1005
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800|metadata_only,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,651
activity__n500__f0__memoryless|time_agnostic_t|ws0|b800|mismatched,activity__n500__f0__memoryless|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,989
activity__n500__f0__memoryless|time_respecting|ws0|b800|direction_only,activity__n500__f0__memoryless|time_respecting|ws0|b800,time_respecting,direction_only,factorial,877
activity__n500__f0__memoryless|time_respecting|ws0|b800|hidden,activity__n500__f0__memoryless|time_respecting|ws0|b800,time_respecting,hidden,factorial,830
activity__n500__f0__memoryless|time_respecting|ws0|b800|mechanism,activity__n500__f0__memoryless|time_respecting|ws0|b800,time_respecting,mechanism,factorial,977
activity__n500__f0__memoryless|time_respecting|ws0|b800|mechanism_direction,activity__n500__f0__memoryless|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1024
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,903
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,855
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1009
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1057
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,978
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,897
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|hidden,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,850
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,987
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1034
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|direction_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,872
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|hidden,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,825
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,985
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1032
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|direction_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,875
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|hidden,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,828
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,951
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,998
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mismatched,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,982
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|direction_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,887
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|hidden,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,840
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,987
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism_direction,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1034
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,886
controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__snap_bitcoin_otc__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,838
