budget,graph_id,arm,stratum,source_family,fold,AE2,ProfileAE,signed_rho2,prediction,in_unit_interval,monotone
0.025,copenhagen_bluetooth,B,real,copenhagen_bluetooth,copenhagen_bluetooth,0.10627190547078891,0.074421484267749,0.10627190547078891,"[0.5531975938902532, 0.32164488414577996, 0.16946167410135415, 0.07000444305004265]",True,True
0.025,copenhagen_bluetooth,B,real,copenhagen_bluetooth,copenhagen_bluetooth,0.09453625922864584,0.06545978569671265,0.09453625922864584,"[0.5414619476481102, 0.31111505202147965, 0.16110731718913326, 0.06477748404456157]",True,True
0.025,copenhagen_bluetooth,B,real,copenhagen_bluetooth,copenhagen_bluetooth,0.12465544966922915,0.0930886556960554,0.12465544966922915,"[0.5715811380886935, 0.34317622170949774, 0.18905613331589483, 0.08516378778656954]",True,True
0.025,copenhagen_bluetooth__pwt,B,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.0255321320805596,0.1469377340664865,-0.0255321320805596,"[0.6892295930546095, 0.4570655978557835, 0.25939541452054715, 0.11974844950140391]",True,True
0.025,copenhagen_bluetooth__pwt,B,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.07754397960457171,0.15458039678277968,-0.07754397960457171,"[0.6372177455305974, 0.43174930918990606, 0.2771961777470917, 0.14870517159957614]",True,True
0.025,copenhagen_bluetooth__pwt,B,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.10477473892499078,0.17852511060936785,-0.10477473892499078,"[0.6099869862101783, 0.40263479140974295, 0.25339307901541497, 0.1330746921254824]",True,True
0.025,dar_a08_r1,B,synthetic,dar_a08_r1,synthetic,0.2047873235101515,0.25787533401388474,-0.2047873235101515,"[0.5796847261792895, 0.2947934763933037, 0.13549893557350393, 0.05355258169898515]",True,True
0.025,dar_a08_r1,B,synthetic,dar_a08_r1,synthetic,0.08762287164285865,0.15004214958967543,-0.08762287164285865,"[0.6968491780465823, 0.4341694137367432, 0.24347350826037972, 0.12037035749821401]",True,True
0.025,dar_a08_r1,B,synthetic,dar_a08_r1,synthetic,0.11823114057194595,0.1631967809902903,-0.11823114057194595,"[0.666240909117495, 0.4113230691953661, 0.2401661075427809, 0.12451384608381783]",True,True
0.025,dar_a08_r2,B,synthetic,dar_a08_r2,synthetic,0.08284788991028014,0.16551408007027346,-0.08284788991028014,"[0.6955721486253653, 0.437529253542584, 0.24327641039705566, 0.10735905918986773]",True,True
0.025,dar_a08_r2,B,synthetic,dar_a08_r2,synthetic,0.034355378221240906,0.10272248719774675,-0.034355378221240906,"[0.7440646603144045, 0.5102382827473364, 0.31375610075181426, 0.16684419943142437]",True,True
0.025,dar_a08_r2,B,synthetic,dar_a08_r2,synthetic,0.14508591245217572,0.21028753124676658,-0.14508591245217572,"[0.6333341260834697, 0.37332138202486087, 0.20177989373899163, 0.09620766520157797]",True,True
0.025,dar_a0_r1,B,synthetic,dar_a0_r1,synthetic,0.0749901963003935,0.09175309583967023,0.0749901963003935,"[0.46144200173160804, 0.23935169485596844, 0.11053277784798823, 0.036736341629770915]",True,True
0.025,dar_a0_r1,B,synthetic,dar_a0_r1,synthetic,0.1807846278375767,0.13686406081383928,0.1807846278375767,"[0.5672364332687913, 0.28654856189009814, 0.12901982990322328, 0.04570185089989921]",True,True
0.025,dar_a0_r1,B,synthetic,dar_a0_r1,synthetic,0.09206764136313944,0.10085961503069354,0.09206764136313944,"[0.478519446794354, 0.2524092324017473, 0.11547921045662468, 0.03808100317670291]",True,True
0.025,dar_a0_r2,B,synthetic,dar_a0_r2,synthetic,0.16051039479984158,0.13798872562454484,0.16051039479984158,"[0.5565829023527117, 0.29536069990924824, 0.1427323206004404, 0.05123668356327151]",True,True
0.025,dar_a0_r2,B,synthetic,dar_a0_r2,synthetic,0.00272675652984139,0.04639463027840992,-0.00272675652984139,"[0.3933457510230287, 0.18242425113267494, 0.07521002620125423, 0.023102683624491478]",True,True
0.025,dar_a0_r2,B,synthetic,dar_a0_r2,synthetic,0.08059396429915094,0.04586250927396884,-0.08059396429915094,"[0.31547854325371916, 0.13382806319173818, 0.051966170024504384, 0.014947035955104222]",True,True
0.025,nr_digg_reply,B,real,nr_digg_reply,nr_digg_reply,0.0690032436941363,0.033671303672620986,0.0690032436941363,"[0.07206824281338942, 0.04060648852096146, 0.018996387989188297, 0.006220013985933653]",True,True
0.025,nr_digg_reply,B,real,nr_digg_reply,nr_digg_reply,0.056896556515230894,0.027862716878691223,0.056896556515230894,"[0.05996155563448402, 0.03246128780780181, 0.0162674684165985, 0.0059664742748694564]",True,True
0.025,nr_digg_reply,B,real,nr_digg_reply,nr_digg_reply,0.0799165558181645,0.03912711088040131,0.0799165558181645,"[0.08298155493741761, 0.04776616638236011, 0.022005813086628755, 0.006960827734187663]",True,True
0.025,nr_digg_reply__pwt,B,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.08597221734645805,0.04045841733337045,0.08597221734645805,"[0.09412206174784375, 0.04768336627417637, 0.021993201317627428, 0.007053887976923915]",True,True
0.025,nr_digg_reply__pwt,B,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.0721875102000874,0.037236931415387975,0.0721875102000874,"[0.08033735460147311, 0.04825358536969758, 0.02224846492041863, 0.007127168753052263]",True,True
0.025,nr_digg_reply__pwt,B,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.10628982737177396,0.04282462006079761,0.10628982737177396,"[0.11443967177315967, 0.04158576223434228, 0.018371964576615815, 0.005919929642162343]",True,True
0.025,snap_collegemsg,B,real,snap_collegemsg,snap_collegemsg,0.20829449302744257,0.09328145835507498,0.20829449302744257,"[0.3113440666652515, 0.11668674474312749, 0.05397296080220576, 0.010792533821364289]",True,True
0.025,snap_collegemsg,B,real,snap_collegemsg,snap_collegemsg,0.07986308079074193,0.049452088518628964,0.07986308079074193,"[0.18291265442855087, 0.08306636294643363, 0.042928015228059294, 0.008571794083121158]",True,True
0.025,snap_collegemsg,B,real,snap_collegemsg,snap_collegemsg,0.14465968885558667,0.07635149669378258,0.14465968885558667,"[0.2477092624933956, 0.10932058157202731, 0.05487741766630653, 0.013169197655049947]",True,True
0.025,snap_collegemsg__pwt,B,surrogate,snap_collegemsg__pwt,snap_collegemsg,0.058539719101369125,0.04370489282194089,-0.058539719101369125,"[0.4512882907266407, 0.25862740463868195, 0.13546085513531236, 0.03820546724980439]",True,True
0.025,snap_collegemsg__pwt,B,surrogate,snap_collegemsg__pwt,snap_collegemsg,0.1269909042293535,0.041668621888173135,-0.1269909042293535,"[0.3828371055986563, 0.20196684980890212, 0.1003461271286484, 0.023295923289327693]",True,True
0.025,snap_collegemsg__pwt,B,surrogate,snap_collegemsg__pwt,snap_collegemsg,0.0148843689830086,0.02351753002875248,0.0148843689830086,"[0.5247123788110184, 0.24591209265925307, 0.11278871201920733, 0.0364988212909452]",True,True
0.025,snap_email_eu,B,real,snap_email_eu,snap_email_eu,0.09588183940639239,0.06143413682357464,-0.09588183940639239,"[0.4098452522270738, 0.20909507168981364, 0.10204718549941219, 0.04198551089386507]",True,True
0.025,snap_email_eu,B,real,snap_email_eu,snap_email_eu,0.09096702711755478,0.07416629662866361,0.09096702711755478,"[0.596694118751021, 0.37269439935330245, 0.21831954549120008, 0.10951738188327448]",True,True
0.025,snap_email_eu,B,real,snap_email_eu,snap_email_eu,0.042510594158215675,0.03429717693293101,0.042510594158215675,"[0.5482376857916819, 0.32624239329934046, 0.18043011591166036, 0.08283877169318485]",True,True
0.025,snap_email_eu__pwt,B,surrogate,snap_email_eu__pwt,snap_email_eu,0.1296588514354422,0.1066055521051032,-0.1296588514354422,"[0.5575298935844781, 0.3354653210412661, 0.1884736070535801, 0.0878835599802152]",True,True
0.025,snap_email_eu__pwt,B,surrogate,snap_email_eu__pwt,snap_email_eu,0.020103981438596374,0.044459759316806,-0.020103981438596374,"[0.667084763581324, 0.450072056620095, 0.28881106129210293, 0.16379944864122398]",True,True
0.025,snap_email_eu__pwt,B,surrogate,snap_email_eu__pwt,snap_email_eu,0.035613475211545564,0.0387488555968967,0.035613475211545564,"[0.7228022202314659, 0.4762172354479137, 0.2805091509878069, 0.14328960851216027]",True,True
0.025,snap_mathoverflow,B,real,snap_mathoverflow,snap_mathoverflow,0.15962745754699054,0.05203210989388771,0.15962745754699054,"[0.24401140103214367, 0.052831491436955036, 0.015716296915124522, 0.005635957286536772]",True,True
0.025,snap_mathoverflow,B,real,snap_mathoverflow,snap_mathoverflow,0.1554087258070988,0.051376628017971916,0.1554087258070988,"[0.23979266929225193, 0.0528102951107097, 0.01650255479287845, 0.006467699971256798]",True,True
0.025,snap_mathoverflow,B,real,snap_mathoverflow,snap_mathoverflow,0.18781566578470976,0.06593689869674041,0.18781566578470976,"[0.2721996092698629, 0.06903074486994515, 0.023594629200146777, 0.00898931854221601]",True,True
0.025,snap_mathoverflow__pwt,B,surrogate,snap_mathoverflow__pwt,snap_mathoverflow,0.32663350871708957,0.22838918480693454,0.32663350871708957,"[0.6774202694333131, 0.44312719595878325, 0.24927314157752042, 0.11204441053416339]",True,True
0.025,snap_mathoverflow__pwt,B,surrogate,snap_mathoverflow__pwt,snap_mathoverflow,0.3417096443933311,0.23934769632937108,0.3417096443933311,"[0.6924964051095547, 0.4571578427106199, 0.2595038747089102, 0.11654094106444154]",True,True
0.025,snap_mathoverflow__pwt,B,surrogate,snap_mathoverflow__pwt,snap_mathoverflow,0.3130140798089684,0.2110476009455964,0.3130140798089684,"[0.663800840525192, 0.42313600506070215, 0.22960930327733606, 0.09595253319519748]",True,True
0.025,sp_highschool2013,B,real,sp_highschool2013,sp_highschool2013,0.07692917439857205,0.07341995381588447,0.07692917439857205,"[0.5624912232125975, 0.3519204585840965, 0.2068852250067018, 0.10500580292559411]",True,True
0.025,sp_highschool2013,B,real,sp_highschool2013,sp_highschool2013,0.01529965169543468,0.024384529306800528,0.01529965169543468,"[0.5008617005094601, 0.28995168299765295, 0.1609531204850698, 0.0783945077004713]",True,True
0.025,sp_highschool2013,B,real,sp_highschool2013,sp_highschool2013,0.1082973867460777,0.09260451727492147,0.1082973867460777,"[0.5938594355601031, 0.3757842000089454, 0.2222709453818027, 0.11112638261428667]",True,True
0.025,sp_highschool2013__pwt,B,surrogate,sp_highschool2013__pwt,sp_highschool2013,0.004771917242872736,0.0939054010638644,-0.004771917242872736,"[0.6585144354556491, 0.4353406263512848, 0.27065905992350264, 0.14229810007117022]",True,True
0.025,sp_highschool2013__pwt,B,surrogate,sp_highschool2013__pwt,sp_highschool2013,0.013324408152196043,0.07763865277020429,0.013324408152196043,"[0.6766107608507179, 0.45983767464165515, 0.29633637991636175, 0.16574321587190452]",True,True
0.025,sp_highschool2013__pwt,B,surrogate,sp_highschool2013__pwt,sp_highschool2013,0.05550502107452138,0.056893115347173714,0.05550502107452138,"[0.7187913737730433, 0.5162071839071614, 0.34527454173304095, 0.1929181410142955]",True,True
0.025,sp_hospital,B,real,sp_hospital,sp_hospital,0.19526735063854556,0.21109664872059108,0.19526735063854556,"[0.6403946552917501, 0.4118958286055408, 0.2767167280392802, 0.1843872846139232]",True,True
0.025,sp_hospital,B,real,sp_hospital,sp_hospital,0.26789022828112813,0.2597649247278135,0.26789022828112813,"[0.7130175329343327, 0.4727551662387528, 0.31080648034731284, 0.21148842105898538]",True,True
0.025,sp_hospital,B,real,sp_hospital,sp_hospital,0.17037711405766748,0.15978580975239948,0.17037711405766748,"[0.615504418710872, 0.352960979800756, 0.20610402337185652, 0.13358171879424327]",True,True
0.025,sp_hospital__pwt,B,surrogate,sp_hospital__pwt,sp_hospital,0.24277931329193814,0.2708573898322076,-0.24277931329193814,"[0.5921636191049012, 0.41075104258017425, 0.2643900031766281, 0.14707086799559435]",True,True
0.025,sp_hospital__pwt,B,surrogate,sp_hospital__pwt,sp_hospital,0.16300980221804884,0.20930986396494478,-0.16300980221804884,"[0.6719331301787905, 0.4559391030329464, 0.31259175811318196, 0.22010164500143015]",True,True
0.025,sp_hospital__pwt,B,surrogate,sp_hospital__pwt,sp_hospital,0.10991443571756265,0.1586343104313881,-0.10991443571756265,"[0.7250284966792767, 0.5272611612593758, 0.37438522906062666, 0.23659296346129663]",True,True
0.025,sp_workplace,B,real,sp_workplace,sp_workplace,0.13266145383319988,0.08765370615996991,0.13266145383319988,"[0.42278779917714, 0.21780323922502337, 0.11925305250531562, 0.046081917635067984]",True,True
0.025,sp_workplace,B,real,sp_workplace,sp_workplace,0.14196071860623205,0.08887157454965716,0.14196071860623205,"[0.43208706395017216, 0.218265902869579, 0.1182129399196789, 0.042231575361865864]",True,True
0.025,sp_workplace,B,real,sp_workplace,sp_workplace,0.11924079101362628,0.08729276980602316,0.11924079101362628,"[0.4093671363575664, 0.2283808789863411, 0.1208533471122839, 0.04588090067056855]",True,True
0.025,sp_workplace__pwt,B,surrogate,sp_workplace__pwt,sp_workplace,0.05097768473482134,0.07326003856908977,-0.05097768473482134,"[0.5812169806839901, 0.39691508056606195, 0.25648798789711247, 0.12592880426582584]",True,True
0.025,sp_workplace__pwt,B,surrogate,sp_workplace__pwt,sp_workplace,0.0256417317981511,0.06078152238187712,-0.0256417317981511,"[0.6065529336206603, 0.414482374446852, 0.26500965171425445, 0.1274396501515775]",True,True
0.025,sp_workplace__pwt,B,surrogate,sp_workplace__pwt,sp_workplace,0.05376188835258289,0.07423027662320547,0.05376188835258289,"[0.6859565537713943, 0.49168366288361914, 0.33274576839790526, 0.18826652059760088]",True,True
0.025,ad_memory_r1,H,synthetic,ad_memory_r1,synthetic,0.04019666773737851,0.022240220174397113,-0.04019666773737851,"[0.7561529960474438, 0.5330733080943016, 0.28319559735457506, 0.09798321204240233]",True,True
0.025,ad_memory_r1,H,synthetic,ad_memory_r1,synthetic,0.07067574046258074,0.05040518006808829,-0.07067574046258074,"[0.7256739233222416, 0.489749189194882, 0.2526070696366547, 0.08971509181017986]",True,True
0.025,ad_memory_r1,H,synthetic,ad_memory_r1,synthetic,0.0317059309129224,0.010316282123598454,-0.0317059309129224,"[0.7646437328718999, 0.5433885978629959, 0.2989584980313971, 0.11335313087644812]",True,True
0.025,ad_memory_r2,H,synthetic,ad_memory_r2,synthetic,0.021011719512897375,0.0115657955278959,-0.021011719512897375,"[0.7615326591853275, 0.5255726924476992, 0.29090985818921383, 0.10997858917248289]",True,True
0.025,ad_memory_r2,H,synthetic,ad_memory_r2,synthetic,0.02048473605155443,0.01073208911408503,-0.02048473605155443,"[0.7620596426466705, 0.5300272901545031, 0.2969773998526002, 0.10545323485544157]",True,True
0.025,ad_memory_r2,H,synthetic,ad_memory_r2,synthetic,0.07217046783473169,0.0834719220702255,-0.07217046783473169,"[0.7103739108634932, 0.42672689401214875, 0.20168257552749483, 0.06154983861379163]",True,True
0.025,ad_memoryless_r1,H,synthetic,ad_memoryless_r1,synthetic,0.020941803086344496,0.005471265573057908,-0.020941803086344496,"[0.03394851207794327, 0.0012153488260304443, 5.112647238122722e-05, 0.0]",True,True
0.025,ad_memoryless_r1,H,synthetic,ad_memoryless_r1,synthetic,0.002960050163849773,0.001075191484552196,0.002960050163849773,"[0.05785036532813754, 0.0032060118793958837, 0.0002414556637878557, 7.297907116252615e-07]",True,True
0.025,ad_memoryless_r1,H,synthetic,ad_memoryless_r1,synthetic,0.009359807937741438,0.0024367223927846938,-0.009359807937741438,"[0.04553050722654633, 0.0018176109350399499, 9.700739682266442e-05, 2.0361207826848282e-07]",True,True
0.025,ad_memoryless_r2,H,synthetic,ad_memoryless_r2,synthetic,0.010343467234890075,0.0034556099736065067,-0.010343467234890075,"[0.05127695898143481, 0.002563190198041947, 9.64382660733819e-05, 6.715317459081637e-06]",True,True
0.025,ad_memoryless_r2,H,synthetic,ad_memoryless_r2,synthetic,0.0018024361356974508,0.001192045970520142,-0.0018024361356974508,"[0.05981799008062744, 0.002973777976627039, 0.0001928941201518316, 5.340369697887875e-07]",True,True
0.025,ad_memoryless_r2,H,synthetic,ad_memoryless_r2,synthetic,0.09154117876706494,0.02585922004208389,0.09154117876706494,"[0.15316160498338982, 0.016083389313682448, 0.0018118194062962726, 0.00013237848748410283]",True,True
0.025,copenhagen_bluetooth,H,real,copenhagen_bluetooth,copenhagen_bluetooth,0.03509311888426914,0.025010014982047232,0.03509311888426914,"[0.4820188073037335, 0.26544518031988507, 0.1210398732704776, 0.04815885715052681]",True,True
0.025,copenhagen_bluetooth,H,real,copenhagen_bluetooth,copenhagen_bluetooth,0.022514015926750786,0.023169800919062095,0.022514015926750786,"[0.4694397043462151, 0.26425900530465496, 0.12511395480472878, 0.05048919733708355]",True,True
0.025,copenhagen_bluetooth,H,real,copenhagen_bluetooth,copenhagen_bluetooth,0.039046374188681565,0.02167673992918513,0.039046374188681565,"[0.4859720626081459, 0.2521907197250308, 0.11937810610365357, 0.04578872939634425]",True,True
0.025,copenhagen_bluetooth__pwt,H,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.03146265980990215,0.08322963052672538,-0.03146265980990215,"[0.683299065325267, 0.5102783894113485, 0.3591427978498945, 0.22755121650487856]",True,True
0.025,copenhagen_bluetooth__pwt,H,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.10750047161358622,0.13627717570569914,-0.10750047161358622,"[0.6072612535215829, 0.4394334958779198, 0.31342278031074305, 0.2079637586652477]",True,True
0.025,copenhagen_bluetooth__pwt,H,surrogate,copenhagen_bluetooth__pwt,copenhagen_bluetooth,0.023066629172731057,0.07536640883040407,-0.023066629172731057,"[0.6916950959624381, 0.5228061012734494, 0.3659395812414761, 0.2312835773993102]",True,True
0.025,dar_a08_r1,H,synthetic,dar_a08_r1,synthetic,0.0015646023639313,0.015309260345083134,-0.0015646023639313,"[0.7829074473255097, 0.603782073369488, 0.4473900190690395, 0.31905935278905384]",True,True
0.025,dar_a08_r1,H,synthetic,dar_a08_r1,synthetic,0.024151720599458137,0.06241728803837637,0.024151720599458137,"[0.8086237702888991, 0.6450417357732983, 0.5051780914349391, 0.3858566105569901]",True,True
0.025,dar_a08_r1,H,synthetic,dar_a08_r1,synthetic,0.036567774972259603,0.0968410294082913,0.036567774972259603,"[0.8210398246617006, 0.6746352614515263, 0.5505891567290923, 0.43613093069146713]",True,True
0.025,dar_a08_r2,H,synthetic,dar_a08_r2,synthetic,0.02283079838003632,0.03290331703673276,0.02283079838003632,"[0.8012508369156818, 0.6267816246388778, 0.4845647334372509, 0.36480926519108714]",True,True
0.025,dar_a08_r2,H,synthetic,dar_a08_r2,synthetic,0.010916060175291453,0.021368020753685837,0.010916060175291453,"[0.7893360987109369, 0.6295769911100066, 0.47170405107229757, 0.3406481341574688]",True,True
0.025,dar_a08_r2,H,synthetic,dar_a08_r2,synthetic,0.026583195487039246,0.024621818494879585,0.026583195487039246,"[0.8050032340226847, 0.6241436416439518, 0.4738418201569165, 0.34129177019193196]",True,True
0.025,dar_a0_r1,H,synthetic,dar_a0_r1,synthetic,0.08770306707192249,0.02704042134063591,-0.08770306707192249,"[0.29874873835929205, 0.0640683472243589, 0.011920707591803883, 0.0012842644883805945]",True,True
0.025,dar_a0_r1,H,synthetic,dar_a0_r1,synthetic,0.09267131154876701,0.027761844746684257,-0.09267131154876701,"[0.29378049388244754, 0.06671739320211441, 0.012331686680758255, 0.001439780524530589]",True,True
0.025,dar_a0_r1,H,synthetic,dar_a0_r1,synthetic,0.01705901651633973,0.014739454273854445,0.01705901651633973,"[0.4035108219475543, 0.11049028775093123, 0.023436675644082576, 0.0025704644595044073]",True,True
0.025,dar_a0_r2,H,synthetic,dar_a0_r2,synthetic,0.06281082745258576,0.019327685435637496,-0.06281082745258576,"[0.33326168010028434, 0.07493826294803725, 0.013187283891262764, 0.0013264220476450624]",True,True
0.025,dar_a0_r2,H,synthetic,dar_a0_r2,synthetic,0.09679326733044685,0.028809349234864643,-0.09679326733044685,"[0.29927924022242325, 0.06875190368293706, 0.011115849386804669, 0.0010309159113818512]",True,True
0.025,dar_a0_r2,H,synthetic,dar_a0_r2,synthetic,0.03537874549525072,0.021512942162415217,-0.03537874549525072,"[0.3606937620576194, 0.11994246165832176, 0.025090813850893207, 0.0035249440198175394]",True,True
0.025,nr_digg_reply,H,real,nr_digg_reply,nr_digg_reply,0.005678602058359267,0.0014395042319362862,0.005678602058359267,"[0.008743601177612394, 0.00018202674882120012, 3.1496551698702786e-05, 6.811068601750528e-06]",True,True
0.025,nr_digg_reply,H,real,nr_digg_reply,nr_digg_reply,0.004535265244166422,0.0011425720053777264,0.004535265244166422,"[0.007600264363419549, 0.000141653431013256, 1.5879008849899422e-05, 3.1946883383106704e-06]",True,True
0.025,nr_digg_reply,H,real,nr_digg_reply,nr_digg_reply,0.007375516940576261,0.0018595320858818102,0.007375516940576261,"[0.010440516059829388, 0.00016942249371771644, 1.6059445947863753e-05, 3.1946883383106704e-06]",True,True
0.025,nr_digg_reply__pwt,H,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.0026914993717060756,0.0008466671278121035,0.0026914993717060756,"[0.010841343773091785, 0.0001483481939477695, 2.09732230834154e-05, 4.513025130428195e-06]",True,True
0.025,nr_digg_reply__pwt,H,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.004666589271525752,0.0013133587266625267,0.004666589271525752,"[0.012816433672911461, 0.00024390875114476527, 3.143812683307998e-05, 6.811068601750528e-06]",True,True
0.025,nr_digg_reply__pwt,H,surrogate,nr_digg_reply__pwt,nr_digg_reply,0.004985691406763767,0.0013985669520767303,0.004985691406763767,"[0.013135535808149476, 0.00023423005719932133, 2.1684097831047718e-05, 4.513025130428195e-06]",True,True
0.025,snap_collegemsg,H,real,snap_collegemsg,snap_collegemsg,0.0824934642540363,0.028246424894906915,0.0824934642540363,"[0.18554303789184523, 0.038735816572651655, 0.007447893574315802, 0.0009294241524640443]",True,True
0.025,snap_collegemsg,H,real,snap_collegemsg,snap_collegemsg,0.07706230566183002,0.027850905763615985,0.07706230566183002,"[0.18011187929963896, 0.04096704225290996, 0.008674098021994052, 0.0013210760915700526]",True,True
0.025,snap_collegemsg,H,real,snap_collegemsg,snap_collegemsg,0.14569197740374834,0.05857596898553836,0.14569197740374834,"[0.24874155104155726, 0.08244961393157497, 0.019184868786011448, 0.0035983147946588]",True,True
0.025,snap_collegemsg__pwt,H,surrogate,snap_collegemsg__pwt,snap_collegemsg,0.08702881502822607,0.04627218164294071,-0.08702881502822607,"[0.42279919479978373, 0.1614507948425805, 0.046427903128135536, 0.010075265323151466]",True,True
0.025,snap_collegemsg__pwt,H,surrogate,snap_collegemsg__pwt,snap_collegemsg,0.13754015173519696,0.06805085534198424,-0.13754015173519696,"[0.37228785809281284, 0.13726332995846094, 0.03621791657309784, 0.007869358673105441]",True,True
0.025,snap_collegemsg__pwt,H,surrogate,snap_collegemsg__pwt,snap_collegemsg,0.09973333853596922,0.057362018170677674,-0.09973333853596922,"[0.4100946712920406, 0.1397018464530434, 0.0387713795635182, 0.007825914674101188]",True,True
0.025,snap_email_eu,H,real,snap_email_eu,snap_email_eu,0.03775446878565569,0.0685714662164877,-0.03775446878565569,"[0.4679726228478105, 0.16364624843307657, 0.07036475196266877, 0.024290770854636875]",True,True
0.025,snap_email_eu,H,real,snap_email_eu,snap_email_eu,0.0389823058739911,0.07084076642735222,-0.0389823058739911,"[0.4667447857594751, 0.14795459070708994, 0.07485291907696462, 0.027644897711204965]",True,True
0.025,snap_email_eu,H,real,snap_email_eu,snap_email_eu,0.03194208403338494,0.06289537571204587,-0.03194208403338494,"[0.47378500760008124, 0.16521693901072462, 0.07890444267047311, 0.031072366834681012]",True,True
0.025,snap_email_eu__pwt,H,surrogate,snap_email_eu__pwt,snap_email_eu,0.12813526074439707,0.15310306246114783,-0.12813526074439707,"[0.5590534842755233, 0.2179920990644868, 0.12599323388068434, 0.06068190106220435]",True,True
0.025,snap_email_eu__pwt,H,surrogate,snap_email_eu__pwt,snap_email_eu,0.14701887103599587,0.1693213871536762,-0.14701887103599587,"[0.5401698739839245, 0.19499321911531448, 0.11256899416060823, 0.05111533225293801]",True,True
0.025,snap_email_eu__pwt,H,surrogate,snap_email_eu__pwt,snap_email_eu,0.08329264575864115,0.12747790236933845,-0.08329264575864115,"[0.6038960992612792, 0.23943437967294381, 0.14726544922126295, 0.07562543049465027]",True,True
0.025,snap_mathoverflow,H,real,snap_mathoverflow,snap_mathoverflow,0.03604818460325733,0.010768479906066643,0.03604818460325733,"[0.12043212808841047, 0.0242202660211906, 0.0039007976387442846, 0.0005161860972791038]",True,True
0.025,snap_mathoverflow,H,real,snap_mathoverflow,snap_mathoverflow,0.032905341616808206,0.009438699122071724,0.032905341616808206,"[0.11728928510196135, 0.020350754875977643, 0.002425147230250101, 0.000298605510090872]",True,True
0.025,snap_mathoverflow,H,real,snap_mathoverflow,snap_mathoverflow,0.03542518742489485,0.009959979767892332,0.03542518742489485,"[0.119809130910048, 0.019962121388846094, 0.0024530364846698043, 0.0003168059933438418]",True,True
