instance_id,arm,seed_slots,seeds_scanned,seed_advances,highest_seed_index_used,accepted_seed_indices
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,6,2,5,"[2, 3, 4, 5]"
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_email_eu__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__snap_mathoverflow__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_highschool2013__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hospital__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.1__c0.15,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.1__c0.15,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.1__c0.15,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.1__c0.15,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.1__c0.15,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.9__c0.15,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.9__c0.15,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.9__c0.15,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.9__c0.15,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n1500__f0__a0.9__c0.15,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.1__c0.15,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.1__c0.15,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.1__c0.15,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.1__c0.15,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.1__c0.15,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.9__c0.15,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.9__c0.15,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.9__c0.15,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.9__c0.15,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
dar__dcsbm__n500__f0__a0.9__c0.15,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__snap_bitcoin_otc,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_bitcoin_otc,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_bitcoin_otc,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__snap_bitcoin_otc,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__snap_bitcoin_otc,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__snap_collegemsg,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_collegemsg,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_collegemsg,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__snap_collegemsg,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__snap_collegemsg,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__snap_email_eu,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_email_eu,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_email_eu,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__snap_email_eu,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__snap_email_eu,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__snap_mathoverflow,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_mathoverflow,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__snap_mathoverflow,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__snap_mathoverflow,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__snap_mathoverflow,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__sp_highschool2013,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_highschool2013,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_highschool2013,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__sp_highschool2013,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__sp_highschool2013,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hospital,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hospital,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hospital,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hospital,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hospital,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hypertext2009,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hypertext2009,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hypertext2009,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hypertext2009,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__sp_hypertext2009,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
real__sp_primaryschool,event_sample_then_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_primaryschool,node_panel_full_history,4,4,0,3,"[0, 1, 2, 3]"
real__sp_primaryschool,recent_history_k20,4,4,0,3,"[0, 1, 2, 3]"
real__sp_primaryschool,time_agnostic_t,4,4,0,3,"[0, 1, 2, 3]"
real__sp_primaryschool,time_respecting,4,4,0,3,"[0, 1, 2, 3]"
