family,outer_replicate,arm,method,mode_a,mode_b,MAE2_a,MAE2_b,paired_MAE2_b_minus_a
ad,1,B,extratrees_pooled,memoryless,memory,0.005313482616561223,0.04604221108087688,0.04072872846431566
ad,1,B,extratrees_real_only,memoryless,memory,0.008226032774229376,0.2978208690393523,0.2895948362651229
ad,1,B,primary_corrector,memoryless,memory,0.011348927235343559,0.11977139103676508,0.10842246380142152
ad,2,R,plugin,memoryless,memory,0.009340517183783098,0.014697328848082503,0.005356811664299405
ad,2,R,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,R,extratrees_pooled,memoryless,memory,0.006272722083070605,0.010716955827625366,0.004444233744554761
ad,2,R,extratrees_real_only,memoryless,memory,0.03643103637476094,0.24312276188118143,0.20669172550642048
ad,2,R,primary_corrector,memoryless,memory,0.009340517183783098,0.014697328848082503,0.005356811664299405
ad,2,S1,plugin,memoryless,memory,0.08170993627855151,0.032846478659494305,-0.04886345761905721
ad,2,S1,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,S1,extratrees_pooled,memoryless,memory,0.05776544672902572,0.014309047126501015,-0.0434563996025247
ad,2,S1,extratrees_real_only,memoryless,memory,0.1144745231756606,0.24120144800444285,0.12672692482878223
ad,2,S1,primary_corrector,memoryless,memory,0.08170993627855151,0.032846478659494305,-0.04886345761905721
ad,2,S2,plugin,memoryless,memory,0.08170993627855151,0.032846478659494305,-0.04886345761905721
ad,2,S2,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,S2,extratrees_pooled,memoryless,memory,0.0091359075560169,0.020552034085067634,0.011416126529050734
ad,2,S2,extratrees_real_only,memoryless,memory,0.07186049529745583,0.24303541924119573,0.1711749239437399
ad,2,S2,primary_corrector,memoryless,memory,0.004969611686774722,0.03234446611076961,0.02737485442399489
ad,2,H,plugin,memoryless,memory,0.016985536580506107,0.11672726109271576,0.09974172451220965
ad,2,H,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,H,extratrees_pooled,memoryless,memory,0.020707522932025116,0.015191255089322583,-0.005516267842702533
ad,2,H,extratrees_real_only,memoryless,memory,0.026265768039222977,0.24339188166020143,0.21712611362097844
ad,2,H,primary_corrector,memoryless,memory,0.02776470036635988,0.1447545711015329,0.11698987073517302
ad,2,B,plugin,memoryless,memory,0.05437469568790943,0.6392929467079348,0.5849182510200254
ad,2,B,median,memoryless,memory,0.29286502981190377,0.42805892266999623,0.13519389285809247
ad,2,B,extratrees_pooled,memoryless,memory,0.008133701383740333,0.019264451194418514,0.011130749810678181
ad,2,B,extratrees_real_only,memoryless,memory,0.012128227796750228,0.27845974090406966,0.26633151310731945
ad,2,B,primary_corrector,memoryless,memory,0.013524203657985172,0.11642107719248951,0.10289687353450433
