graph_id,stratum,rho2,rho_shifted_half_window,rho_equal_event_rank_windows,rho_event_weighted,lifetime_mean,lifetime_median,lifetime_mean_over_horizon,median_interevent_time,burstiness_pooled,burstiness_pair_median,censoring_share_last_window,window_length_over_median_interevent_time,share_single_event_dyads,repeat_rate
copenhagen_bluetooth__pwt,surrogate,0.7147617251351691,0.7148874638501195,0.715465861938891,0.9896429882960698,1260102.8064881177,1551600.0,0.52094043014929,4800.0,0.48242649958663386,-0.013551500860275699,0.06646548472274613,100.7875,0.25877027536778574,0.7412297246322143
sp_workplace__pwt,surrogate,0.6321946654188114,0.6441272812353767,0.6413196069255966,0.9775588186430497,498046.90687880205,605940.0,0.5012852093310808,2200.0,0.48414710050230075,0.07339651549334723,0.07089377632194666,90.32181818181819,0.3310715956948994,0.6689284043051006
snap_email_eu__pwt,surrogate,0.6871887450199203,0.6860682270916335,0.7013819721115537,0.9819699458978016,25370009.545443226,27197912.5,0.3652502450637207,231089.0,0.4625433761260848,-0.05105005093577143,0.001929780876494024,60.114721168034826,0.26400647410358563,0.7359935258964143
snap_collegemsg__pwt,surrogate,0.5098280098280098,0.479043214337332,0.5802861685214626,0.8481657892537813,3663164.9412487354,1548288.5,0.21887699118745998,336982.0,0.28689876983650997,-0.045870012598104803,0.010839716722069664,9.932982177089578,0.3780170544876427,0.6219829455123573
snap_mathoverflow__pwt,surrogate,0.35078676071622356,0.35563818582234846,0.35310076282276337,0.6633857612289693,37935800.392539866,0.0,0.1868126090691768,20969767.0,0.03780572527338861,-0.19106652768332524,0.10355558392646261,1.936776274147443,0.6036726139180577,0.3963273860819423
nr_digg_reply__pwt,surrogate,0.00814984440138571,0.00825553402618754,0.00843168340085726,0.01827082584132803,4303.394351476719,0.0,0.0032938467820211475,291178.5,-0.12595894863442186,-0.24666106990424158,0.2490047560331161,0.8973842505542133,0.989924255768892,0.01007574423110798
dar_a0_r1,synthetic,0.38645180543121455,0.6147418680990749,0.40853476574156966,0.5855395106297633,0.22595229904618094,0.11222120497867566,0.22595229904618094,0.06056843352743979,0.1367184226185916,-0.14174961543309944,0.12831990450611758,3.302050067208564,0.21814383766039988,0.7818561623396001
dar_a08_r1,synthetic,0.784472049689441,0.8496894409937888,0.7857142857142857,0.929053034114924,0.48070421387554974,0.4754457069873929,0.48070421387554974,0.07290223524643707,-0.0804386565784664,-0.1765355012345111,0.09192546583850932,2.743400107334494,0.07950310559006211,0.9204968944099379
dar_a0_r2,synthetic,0.3960725075528701,0.6226586102719033,0.4280966767371601,0.5984590754452671,0.22595663578657268,0.11799961953800468,0.22595663578657268,0.060491620986303174,0.1301090007442753,-0.12494597345258322,0.11691842900302114,3.306243025712355,0.2256797583081571,0.7743202416918429
dar_a08_r2,synthetic,0.7784200385356455,0.8452151573538856,0.783558124598587,0.9301037365293584,0.48843001136456954,0.5023678544874703,0.48843001136456954,0.07037949444629055,-0.08364830717878632,-0.16518174731394897,0.09633911368015415,2.8417368094712323,0.08477842003853564,0.9152215799614644
ad_memoryless_r1,synthetic,0.054890315164287766,0.056135645176741064,0.05498610978063033,0.10655591282600929,0.02269470255771626,0.0,0.02269470255771626,0.27399999999999997,-0.15767548015934832,-0.2822580645161292,0.1866079126353099,0.7299270072992702,0.932273206245809,0.06772679375419101
ad_memory_r1,synthetic,0.7963496637848223,0.8054755043227666,0.7958693563880884,0.9447677020857578,0.4539678194044189,0.468,0.4539678194044189,0.06499999999999995,0.03928768720460485,-0.1329268523472416,0.11047070124879924,3.0769230769230798,0.13304514889529298,0.866954851104707
ad_memoryless_r2,synthetic,0.06162042621632489,0.062123039806996384,0.06162042621632489,0.12519634112538114,0.0268021712907117,0.0,0.0268021712907117,0.265,-0.1441727646943748,-0.3022127035756008,0.1840570969039003,0.7547169811320755,0.9254121431443506,0.07458785685564938
ad_memory_r2,synthetic,0.7825443786982249,0.7953648915187377,0.7825443786982249,0.9387207257243358,0.4511533530571992,0.472,0.4511533530571992,0.064,0.04701336796203892,-0.13598031213838635,0.11883629191321499,3.125,0.13609467455621302,0.863905325443787
