strategy,target_budget,n,chosen,selection,censoring,total_bias,coverage,selection_share,opposed
forest_fire_k20,1600.0,128,False,0.1543070302378402,-0.36442457262510963,-0.21011754238726937,0.11353741154368088,0.2974698849775083,True
forest_fire_k20,800.0,128,False,0.16009847627291762,-0.37545052570383386,-0.21535204943091624,0.06079035116324765,0.2989427217341124,True
forest_fire_k20,400.0,128,False,0.1655146184375076,-0.3824016315780083,-0.2168870131405007,0.030715978561612192,0.3020801416873848,True
bfs_crawl_k20,100.0,128,False,0.1751304812985477,-0.4037192094019538,-0.22858872810340614,0.007829679995081622,0.3025491489623352,True
uniform_event_reservoir,3200.0,128,False,0.14264476941587317,-0.3286138295349228,-0.18596906011904962,0.2905819530834657,0.30268894771035615,True
forest_fire_k20,100.0,128,False,0.16521849161653368,-0.3797369749147447,-0.21451848329821105,0.0074631445872025215,0.30317796914337547,True
ego_recent_k20,100.0,128,False,0.17220307468333018,-0.3906432671901339,-0.2184401925068038,0.007473619136179563,0.3059504199852184,True
ego_recent_kall,400.0,128,False,0.06678970255942758,-0.15054085240162327,-0.08375114984219567,0.015166220440345234,0.30731851106438934,True
ego_recent_kall,100.0,128,False,0.11990992842661079,-0.26805213022474916,-0.14814220179813842,0.004935613157018301,0.30907643093616843,True
ego_recent_kall,1600.0,128,False,0.02361203178095428,-0.05083745391963522,-0.02722542213868094,0.05496395283861244,0.3171550690882384,True
ego_recent_kall,800.0,128,False,0.0375138276485974,-0.07288806230216388,-0.03537423465356647,0.028285841866902087,0.3397933465208647,True
ego_recent_kall,3200.0,128,False,0.01721965188719237,-0.02429245499403133,-0.00707280310683896,0.1069816250739502,0.4148103572883451,True
event_sample_then_full_history,,32,True,0.16314259290403949,0.0,0.16314259290403949,0.19907584792543798,1.0,False
node_panel_full_history,,32,True,-0.002173654723659233,0.0,-0.002173654723659233,0.07881966915684949,1.0,False
